ALUMNO_ID,Cod.Asign,Asignatura,Cod.Car.Sec,Cod.Curso,Convocatoria,Anho,Semestre,Doc.Firma,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,Tercer.Par,TPLab.,Lab.,Proy.,Pond.PP,Pond.SP,Pond.TPLab,Pond.Lab,Pond.Proy,Asis,Requisito,Firma,Primer.Rec,Segundo.Rec,Nota.Final,FirmaCalculada
FIUNA_ALUMNO_005925,13012,FISICA 3,CGF-PLS13 ,3,2,2024,2,0,N,0,33,43,0,40,100,0,40,40,10,10,0,1,1,0.0,28,0,,
FIUNA_ALUMNO_007516,13012,FISICA 3,CGF-PLS13 ,3,2,2024,2,0,N,0,33,43,0,40,100,0,40,40,10,10,0,1,1,0.0,28,0,,
FIUNA_ALUMNO_005493,13012,FISICA 3,ELE-PLS13 ,3,2,2024,2,0,N,0,5,10,0,20,80,0,40,40,10,10,0,1,0,0.0,0,0,,
FIUNA_ALUMNO_007517,13012,FISICA 3,ELE-PLS13 ,3,2,2024,2,0,N,0,5,10,0,20,80,0,40,40,10,10,0,1,0,0.0,0,0,,
FIUNA_ALUMNO_006375,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,0,N,0,30,30,0,50,100,0,40,40,10,10,0,1,1,0.0,14,0,,
FIUNA_ALUMNO_006806,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,0,N,0,30,30,0,50,100,0,40,40,10,10,0,1,1,0.0,14,0,,
FIUNA_ALUMNO_005531,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,37286,N,2024,50,50,0,20,100,0,40,40,10,10,0,1,1,52.0,0,0,2F-1,
FIUNA_ALUMNO_007525,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,37286,N,2024,50,50,0,20,100,0,40,40,10,10,0,1,1,52.0,0,0,2F-1,
FIUNA_ALUMNO_006379,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,37286,N,2024,45,65,0,50,80,0,40,40,10,10,0,1,1,57.0,0,0,1F-2,
FIUNA_ALUMNO_006811,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,37286,N,2024,45,65,0,50,80,0,40,40,10,10,0,1,1,57.0,0,0,1F-2,
FIUNA_ALUMNO_006819,13012,FISICA 3,MCT-PLS13 ,3,2,2024,2,0,N,0,23,45,0,60,100,0,40,40,10,10,0,1,1,0.0,0,0,,
FIUNA_ALUMNO_008841,13012,FISICA 3,MCT-PLS13 ,3,2,2024,2,0,N,0,23,45,0,60,100,0,40,40,10,10,0,1,1,0.0,0,0,,
FIUNA_ALUMNO_005963,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,37286,S,2024,63,48,0,50,100,0,40,40,10,10,0,1,1,59.0,42,0,2F-3,
FIUNA_ALUMNO_007449,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,37286,S,2024,63,48,0,50,100,0,40,40,10,10,0,1,1,59.0,42,0,2F-3,
FIUNA_ALUMNO_005973,13012,FISICA 3,CGF-PLS13 ,3,2,2024,2,37286,S,2024,38,58,0,50,100,0,40,40,10,10,0,1,1,53.0,0,0,1F-2,
FIUNA_ALUMNO_007537,13012,FISICA 3,CGF-PLS13 ,3,2,2024,2,37286,S,2024,38,58,0,50,100,0,40,40,10,10,0,1,1,53.0,0,0,1F-2,
FIUNA_ALUMNO_006830,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,0,N,0,55,20,0,70,90,0,40,40,10,10,0,1,1,0.0,0,0,,
FIUNA_ALUMNO_008845,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,0,N,0,55,20,0,70,90,0,40,40,10,10,0,1,1,0.0,0,0,,
FIUNA_ALUMNO_004581,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,37614,N,2024,8,70,0,50,100,0,40,40,10,10,0,2,1,64.0,52,0,2F-1,
FIUNA_ALUMNO_004826,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,37614,N,2024,8,70,0,50,100,0,40,40,10,10,0,2,1,64.0,52,0,2F-1,
FIUNA_ALUMNO_006839,13012,FISICA 3,CGF-PLS13 ,3,2,2024,2,37286,S,2024,70,48,0,30,90,0,40,40,10,10,0,1,1,62.0,56,0,2F-2,
FIUNA_ALUMNO_008853,13012,FISICA 3,CGF-PLS13 ,3,2,2024,2,37286,S,2024,70,48,0,30,90,0,40,40,10,10,0,1,1,62.0,56,0,2F-2,
FIUNA_ALUMNO_006845,13012,FISICA 3,IND-PLS13 ,3,2,2024,2,0,N,0,0,40,0,30,100,0,40,40,10,10,0,1,1,0.0,24,0,,
FIUNA_ALUMNO_009459,13012,FISICA 3,IND-PLS13 ,3,2,2024,2,0,N,0,0,40,0,30,100,0,40,40,10,10,0,1,1,0.0,24,0,,
FIUNA_ALUMNO_006031,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,37286,N,2024,45,53,0,50,90,0,40,40,10,10,0,1,1,53.0,0,0,1F-2,
FIUNA_ALUMNO_007861,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,37286,N,2024,45,53,0,50,90,0,40,40,10,10,0,1,1,53.0,0,0,1F-2,
FIUNA_ALUMNO_011224,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,0,N,0,5,15,0,40,100,0,40,40,10,10,0,1,1,0.0,0,0,,
FIUNA_ALUMNO_011707,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,0,N,0,5,15,0,40,100,0,40,40,10,10,0,1,1,0.0,0,0,,
FIUNA_ALUMNO_002025,13012,FISICA 3,CGF-PLS13 ,3,2,2024,2,0,N,0,0,40,0,40,80,0,40,40,10,10,0,1,1,0.0,0,0,,
FIUNA_ALUMNO_002341,13012,FISICA 3,CGF-PLS13 ,3,2,2024,2,0,N,0,0,40,0,40,80,0,40,40,10,10,0,1,1,0.0,0,0,,
FIUNA_ALUMNO_006429,13012,FISICA 3,CGF-PLS13 ,3,2,2024,2,0,N,0,0,15,0,0,100,0,40,40,10,10,0,1,0,0.0,0,0,,
FIUNA_ALUMNO_006854,13012,FISICA 3,CGF-PLS13 ,3,2,2024,2,0,N,0,0,15,0,0,100,0,40,40,10,10,0,1,0,0.0,0,0,,
FIUNA_ALUMNO_006431,13012,FISICA 3,ELE-PLS13 ,3,2,2024,2,0,N,0,13,0,0,20,70,0,40,40,10,10,0,2,0,0.0,0,0,,
FIUNA_ALUMNO_006857,13012,FISICA 3,ELE-PLS13 ,3,2,2024,2,0,N,0,13,0,0,20,70,0,40,40,10,10,0,2,0,0.0,0,0,,
FIUNA_ALUMNO_005626,13012,FISICA 3,IND-PLS13 ,3,2,2024,2,37614,N,2024,13,55,0,50,80,0,40,40,10,10,0,1,1,52.0,42,0,2F-1,
FIUNA_ALUMNO_007369,13012,FISICA 3,IND-PLS13 ,3,2,2024,2,37614,N,2024,13,55,0,50,80,0,40,40,10,10,0,1,1,52.0,42,0,2F-1,
FIUNA_ALUMNO_006866,13012,FISICA 3,CGF-PLS13 ,3,2,2024,2,37286,N,2024,30,73,0,60,100,0,40,40,10,10,0,1,1,57.0,20,0,2F-1,
FIUNA_ALUMNO_009445,13012,FISICA 3,CGF-PLS13 ,3,2,2024,2,37286,N,2024,30,73,0,60,100,0,40,40,10,10,0,1,1,57.0,20,0,2F-1,
FIUNA_ALUMNO_005313,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,0,N,0,25,0,0,20,90,0,40,40,10,10,0,2,1,0.0,0,0,,
FIUNA_ALUMNO_008165,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,0,N,0,25,0,0,20,90,0,40,40,10,10,0,2,1,0.0,0,0,,
FIUNA_ALUMNO_006076,13012,FISICA 3,ELE-PLS13 ,3,2,2024,2,0,N,0,10,20,0,20,100,0,40,40,10,10,0,1,1,0.0,0,0,,
FIUNA_ALUMNO_006882,13012,FISICA 3,ELE-PLS13 ,3,2,2024,2,0,N,0,10,20,0,20,100,0,40,40,10,10,0,1,1,0.0,0,0,,
FIUNA_ALUMNO_006453,13012,FISICA 3,ELE-PLS13 ,3,2,2024,2,37286,N,2024,50,85,0,70,100,0,40,40,10,10,0,1,1,71.0,0,0,1F-3,
FIUNA_ALUMNO_006890,13012,FISICA 3,ELE-PLS13 ,3,2,2024,2,37286,N,2024,50,85,0,70,100,0,40,40,10,10,0,1,1,71.0,0,0,1F-3,
FIUNA_ALUMNO_006086,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,37286,N,2024,73,60,0,60,90,0,40,40,10,10,0,1,1,68.0,0,0,1F-2,
FIUNA_ALUMNO_007878,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,37286,N,2024,73,60,0,60,90,0,40,40,10,10,0,1,1,68.0,0,0,1F-2,
FIUNA_ALUMNO_008885,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,0,N,0,25,53,0,60,90,0,40,40,10,10,0,1,1,0.0,18,0,,
FIUNA_ALUMNO_010183,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,0,N,0,25,53,0,60,90,0,40,40,10,10,0,1,1,0.0,18,0,,
FIUNA_ALUMNO_006461,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,0,N,0,10,58,0,40,70,0,40,40,10,10,0,1,1,0.0,34,0,,
FIUNA_ALUMNO_007376,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,0,N,0,10,58,0,40,70,0,40,40,10,10,0,1,1,0.0,34,0,,
FIUNA_ALUMNO_006908,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,0,N,0,10,43,0,40,0,0,40,40,10,10,0,1,1,0.0,40,0,,
FIUNA_ALUMNO_009528,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,0,N,0,10,43,0,40,0,0,40,40,10,10,0,1,1,0.0,40,0,,
FIUNA_ALUMNO_005041,13012,FISICA 3,CIV-PLS13 ,3,2,2024,2,37286,N,2024,30,60,0,70,100,0,40,40,10,10,0,1,1,53.0,0,0,2F-1,
